si.dos
# , E (eV) ,  dos(E)    , Int dos(E) 
  ,-6.240,0E+00,0E+00
  ,-6.230,0E+00,0E+00
  ,-6.220,0E+00,0E+00
  ,-6.210,0E+00,0E+00
  ,-6.200,0E+00,0E+00
  ,-6.190,0E+00,0E+00
  ,-6.180,0E+00,0E+00
  ,-6.170,0E+00,0E+00
  ,-6.160,0E+00,0E+00
  ,-6.150,0E+00,0E+00
  ,-6.140,0E+00,0E+00
  ,-6.130,0E+00,0E+00
  ,-6.120,0E+00,0E+00
  ,-6.110,0E+00,0E+00
  ,-6.100,0E+00,0E+00
  ,-6.090,0E+00,0E+00
  ,-6.080,0E+00,0E+00
  ,-6.070,0E+00,0E+00
  ,-6.060,0E+00,0E+00
  ,-6.050,0E+00,0E+00
  ,-6.040,0E+00,0E+00
  ,-6.030,0E+00,0E+00
  ,-6.020,0E+00,0E+00
  ,-6.010,0E+00,0E+00
  ,-6.000,0E+00,0E+00
  ,-5.990,0E+00,0E+00
  ,-5.980,0E+00,0E+00
  ,-5.970,0E+00,0E+00
  ,-5.960,0E+00,0E+00
  ,-5.950,0E+00,0E+00
  ,-5.940,0E+00,0E+00
  ,-5.930,0E+00,0E+00
  ,-5.920,0E+00,0E+00
  ,-5.910,0E+00,0E+00
  ,-5.900,0E+00,0E+00
  ,-5.890,0E+00,0E+00
  ,-5.880,0E+00,0E+00
  ,-5.870,0E+00,0E+00
  ,-5.860,0E+00,0E+00
  ,-5.850,0E+00,0E+00
  ,-5.840,0E+00,0E+00
  ,-5.830,0E+00,0E+00
  ,-5.820,3.298E-06,1.452E-09
  ,-5.810,2.423E-04,9.142E-07
  ,-5.800,8.593E-04,6.107E-06
  ,-5.790,1.854E-03,1.936E-05
  ,-5.780,3.227E-03,4.445E-05
  ,-5.770,4.979E-03,8.517E-05
  ,-5.760,7.108E-03,1.453E-04
  ,-5.750,9.615E-03,2.286E-04
  ,-5.740,1.25E-02,3.388E-04
  ,-5.730,1.576E-02,4.799E-04
  ,-5.720,1.941E-02,6.554E-04
  ,-5.710,2.342E-02,8.692E-04
  ,-5.700,2.782E-02,1.125E-03
  ,-5.690,3.26E-02,1.427E-03
  ,-5.680,3.775E-02,1.778E-03
  ,-5.670,4.328E-02,2.183E-03
  ,-5.660,4.919E-02,2.645E-03
  ,-5.650,5.548E-02,3.168E-03
  ,-5.640,6.215E-02,3.756E-03
  ,-5.630,6.919E-02,4.413E-03
  ,-5.620,8.893E-02,5.153E-03
